Proper Name,File Name(s),Applicant(s),BLA Number(s),Proprietary Name(s),Strength (merged),Dosage Form(s),Route of Administration,Approval Date(s)
belantamab mafodotin-blmf,2020_august.csv | 2025_november.csv,GlaxoSmithKline Intellectual Property Development Ltd. England | GlaxoSmithKline LLC,761158 | 761440,Blenrep,100MG | 70MG,For Injection,Intravenous,23-Oct-25 | 8/5/2020
benralizumab,2024_april.csv,AstraZeneca AB,761070,Fasenra,10MG/0.5ML,Injection,Subcutaneous,"April 05, 2024"
benzylpenicilloyl polylysine,2021_september.csv,"AllerQuest, LLC",050114,Pre-Pen,0.25ML,Injection,Intradermal,07/25/1974
beremagene geperpavec-svdt,2023_may.csv,"Krystal Biotech, Inc.",125774,VYJUVEK,5.0x10^9 PFU/mL,Gel,Topical,5/19/2023
betibeglogene autotemcel,2022_august.csv,Bluebird Bio Inc.,125717,Zynteglo,1.7-20 X 10^6CELL/ML,For Injection,Intravenous,08/17/2022
bevacizumab-adcd,2022_october.csv,"CELLTRION, Inc.",761268,Vegzelma,100MG/4ML (25MG/ML),Injection,Intravenous,9/27/22
bevacizumab-maly,2022_april.csv,Amneal Pharmaceuticals LLC,761231,Alymsys,100MG/4ML (25MG/ML) | 400MG/16ML (25MG/ML),Injection,Intravenous,04/13/2022
bevacizumab-nwgd,2025_may.csv,Biocon Biologics Inc.,761175,Jobevne,100MG/4ML (25MG/ML) | 400MG/16ML (25MG/ML),Injection,Intravenous,"April 09, 2025"
bevacizumab-tnjn,2023_december.csv,"Bio-Thera Solutions, Ltd.",761198,Avzivi,100MG/4ML (25MG/ML) | 400MG/16ML (25MG/ML),Injection,Intravenous,12/6/2023
bimekizumab-bkzx,2023_october.csv | 2024_november.csv,"UCB, Inc.",761151,Bimzelx,160MG/ML | 320MG/2ML (160MG/2ML),Injection,Subcutaneous,10/17/2023 | 11-Oct-24
Botulism Antitoxin Bivalent (Equine) Types A and B.,2022_may.csv,Sanofi Pasteur Limited,103937,,5000IU,Injection,Intravenous,02/24/2000
Brexucabtagene Autoleucel,2020_august.csv,Kite Pharma Inc.,125703,Tecartus,2x10^6 CAR-positive viable T cells per kg body weight,For Injection,Intravenous,7/24/2020
brolucizumab-dbll,2022_may.csv,Novartis Pharmaceuticals Corporation,761125,Beovu,6MG/0.05ML,Injection,Intravitreal,05/27/2022
"Chikungunya Vaccine, Recombinant",2025_february.csv,Bavarian Nordic A/S,125820,VIMKUNYA,40UG/0.8ML,Injection,Intramuscular,"February 14, 2025"
